"date","deaths"
2020-07-26,1888
2020-07-27,1902
2020-07-28,1886
2020-07-29,1887
2020-07-30,1918
2020-07-31,1950
2020-08-01,1913
2020-08-02,1966
2020-08-03,1937
2020-08-04,1984
2020-08-05,1992
2020-08-06,1990
2020-08-07,2022
2020-08-08,2007
2020-08-09,2018
2020-08-10,1987
2020-08-11,2033
2020-08-12,2015
2020-08-13,2038
2020-08-14,2055
2020-08-15,2024
2020-08-16,2061
2020-08-17,2082
2020-08-18,2074
2020-08-19,2036
2020-08-20,2051
2020-08-21,2051
2020-08-22,2075
2020-08-23,2070
2020-08-24,2091
2020-08-25,2115
2020-08-26,2132
2020-08-27,2112
2020-08-28,2078
2020-08-29,2136
2020-08-30,2050
2020-08-31,2071
2020-09-01,2119
2020-09-02,2110
2020-09-03,2088
2020-09-04,2102
2020-09-05,2064
2020-09-06,2109
2020-09-07,2104
2020-09-08,2093
2020-09-09,2122
2020-09-10,2104
2020-09-11,2096
2020-09-12,2109
2020-09-13,2160
2020-09-14,2117
2020-09-15,2101
2020-09-16,2115
2020-09-17,2109
2020-09-18,2094
2020-09-19,2153
